slide_id,category,mtresh,close,a_t,a_h
001_ABC,1,7,18,1000,10
001_DEF,1,7,18,1000,10
002_ABC,1,7,18,1000,10
002_DEF,1,7,18,1000,10
002_G,1,7,18,1000,10
003_ABC,1,7,18,1000,10
003_DEF,1,7,18,1000,10
003_GH,1,7,18,1000,10
004_ABC,1,7,18,1000,10
004_DEF,1,7,18,1000,10
004_GHK,1,7,18,1000,10
004_LMN,1,7,18,1000,10
005_ABC,1,7,18,1000,10
005_DEF,1,7,18,1000,10
005_KL,1,7,18,1000,10
006_ABC,1,7,18,1000,10
006_DEF,1,7,18,1000,10
006_G,1,7,18,1000,10
007_ABC,1,7,18,1000,10
007_DEF,1,7,18,1000,10
008_ABC,1,7,18,1000,10
008_DEF,1,7,18,1000,10
008_GHK,1,7,18,1000,10
008_LMN,1,7,18,1000,10
009_ABC,1,7,18,1000,10
009_DEF,1,7,18,1000,10
009_GH,1,7,18,1000,10
010_ABC,1,7,18,1000,10
010_DEF,1,7,18,1000,10
010_GH,1,7,18,1000,10
010_KL,1,7,18,1000,10
011_ABC,1,7,18,1000,10
011_DEF,1,7,18,1000,10
012_AB,1,7,18,1000,10
012_CD,1,7,18,1000,10
012_E,1,7,18,1000,10
013_AB,1,7,18,1000,10
014_AB,1,7,18,1000,10
014_CD,1,7,18,1000,10
014_EF,1,7,18,1000,10
015_ZZZ,1,7,18,1000,10
016_ABC,1,7,18,1000,10
016_DEF,1,7,18,1000,10
016_GH,1,7,18,1000,10
016_KL,1,7,18,1000,10
017_ABC,1,7,18,1000,10
017_DEF,1,7,18,1000,10
018_ABC,1,7,18,1000,10
018_DEF,1,7,18,1000,10
019_ABC,1,7,18,1000,10
019_DEF,1,7,18,1000,10
020_AB,1,7,18,1000,10
020_CD,1,7,18,1000,10
021_ABC,1,7,18,1000,10
021_DEF,1,7,18,1000,10
022_AB,1,7,18,1000,10
022_CD,1,7,18,1000,10
022_EF,1,7,18,1000,10
023_ABC,1,7,18,1000,10
023_DEF,1,7,18,1000,10
024_DEF,1,7,18,1000,10
024_GH,1,7,18,1000,10
024_KL,1,7,18,1000,10
025_CD,1,7,18,1000,10
025_EF,1,7,18,1000,10
026_ABC,1,7,18,1000,10
026_DEF,1,7,18,1000,10
027_ABC,1,7,18,1000,10
027_HKL,1,7,18,1000,10
028_EF,1,7,18,1000,10
029_ABC,1,7,18,1000,10
029_DEF,1,7,18,1000,10
030_AB,1,7,18,1000,10
030_CD,1,7,18,1000,10
030_EF,1,7,18,1000,10
030_GH,1,7,18,1000,10
031_DE,1,7,18,1000,10
032_AB,1,7,18,1000,10
032_CD,1,7,18,1000,10
032_EF,1,7,18,1000,10
032_GH,1,7,18,1000,10
033_ABC,1,7,18,1000,10
033_DEF,1,7,18,1000,10
033_GH,1,7,18,1000,10
033_KL,1,7,18,1000,10
034_AB,1,7,18,1000,10
034_CD,1,7,18,1000,10
034_EF,1,7,18,1000,10
035_DEF,1,7,18,1000,10
035_GH,1,7,18,1000,10
035_KL,1,7,18,1000,10
036_AB,1,7,18,1000,10
036_CD,1,7,18,1000,10
036_EF,1,7,18,1000,10
037_A,1,7,18,1000,10
037_BC,1,7,18,1000,10
037_DEF,1,7,18,1000,10
038_ABC,1,7,18,1000,10
038_DE,1,7,18,1000,10
038_FGH,1,7,18,1000,10
039_ABC,1,7,18,1000,10
