slide_id,category,mthresh,close,a_t,a_h,handled
001_ABC,1,7,18,1000,10,1
001_DEF,1,7,18,1000,10,1
002_ABC,1,7,18,1000,10,1
002_DEF,1,7,18,1000,10,1
002_G,1,7,18,1000,10,1
003_ABC,1,7,18,1000,10,1
003_DEF,1,7,18,1000,10,1
003_GH,1,7,18,1000,10,1
004_ABC,1,7,18,1000,10,1
004_DEF,1,7,18,1000,10,1
004_GHK,1,7,18,1000,10,1
004_LMN,1,7,18,1000,10,1
005_ABC,1,7,18,1000,10,1
005_DEF,1,7,18,1000,10,1
005_KL,1,7,18,1000,10,1
006_ABC,1,7,18,1000,10,1
006_DEF,1,7,18,1000,10,1
006_G,1,7,18,1000,10,1
007_ABC,1,7,18,1000,10,1
007_DEF,1,7,18,1000,10,1
008_ABC,1,7,18,1000,10,1
008_DEF,1,7,18,1000,10,1
008_GHK,1,7,18,1000,10,1
008_LMN,1,7,18,1000,10,1
009_ABC,1,7,18,1000,10,1
009_DEF,1,7,18,1000,10,1
009_GH,1,7,18,1000,10,1
010_ABC,1,7,18,1000,10,1
010_DEF,1,7,18,1000,10,1
010_GH,1,7,18,1000,10,1
010_KL,1,7,18,1000,10,1
011_ABC,1,7,18,1000,10,1
011_DEF,1,7,18,1000,10,1
012_AB,1,7,18,1000,10,1
012_CD,1,7,18,1000,10,1
012_E,1,7,18,1000,10,1
013_AB,1,7,18,1000,10,1
014_AB,1,7,18,1000,10,1
014_CD,1,7,18,1000,10,1
014_EF,1,7,18,1000,10,1
015_ZZZ,1,7,18,1000,10,1
016_ABC,1,7,18,1000,10,1
016_DEF,1,7,18,1000,10,1
016_GH,1,7,18,1000,10,1
016_KL,1,7,18,1000,10,1
017_ABC,1,7,18,1000,10,1
017_DEF,1,7,18,1000,10,1
018_ABC,1,7,18,1000,10,1
018_DEF,1,7,18,1000,10,1
019_ABC,1,7,18,1000,10,1
019_DEF,1,7,18,1000,10,1
020_AB,1,7,18,1000,10,1
020_CD,1,7,18,1000,10,1
021_ABC,1,7,18,1000,10,1
021_DEF,1,7,18,1000,10,1
022_AB,1,7,18,1000,10,1
022_CD,1,7,18,1000,10,1
022_EF,1,7,18,1000,10,1
023_ABC,1,7,18,1000,10,1
023_DEF,1,7,18,1000,10,1
024_DEF,1,7,18,1000,10,1
024_GH,1,7,18,1000,10,1
024_KL,1,7,18,1000,10,1
025_CD,1,7,18,1000,10,1
025_EF,1,7,18,1000,10,1
026_ABC,1,7,18,1000,10,1
026_DEF,1,7,18,1000,10,1
027_ABC,1,7,18,1000,10,1
027_HKL,1,7,18,1000,10,1
028_EF,1,7,18,1000,10,1
029_ABC,1,7,18,1000,10,1
029_DEF,1,7,18,1000,10,1
030_AB,1,7,18,1000,10,1
030_CD,1,7,18,1000,10,1
030_EF,1,7,18,1000,10,1
030_GH,1,7,18,1000,10,1
031_DE,1,7,18,1000,10,1
032_AB,1,7,18,1000,10,1
032_CD,1,7,18,1000,10,1
032_EF,1,7,18,1000,10,1
032_GH,1,7,18,1000,10,1
033_ABC,1,7,18,1000,10,1
033_DEF,1,7,18,1000,10,1
033_GH,1,7,18,1000,10,1
033_KL,1,7,18,1000,10,1
034_AB,1,7,18,1000,10,1
034_CD,1,7,18,1000,10,1
034_EF,1,7,18,1000,10,1
035_DEF,1,7,18,1000,10,1
035_GH,1,7,18,1000,10,1
035_KL,1,7,18,1000,10,1
036_AB,1,7,18,1000,10,1
036_CD,1,7,18,1000,10,1
036_EF,1,7,18,1000,10,1
037_A,1,7,18,1000,10,1
037_BC,1,7,18,1000,10,1
037_DEF,1,7,18,1000,10,1
038_ABC,1,7,18,1000,10,1
038_DE,1,7,18,1000,10,1
038_FGH,1,7,18,1000,10,1
039_ABC,1,7,18,1000,10,1
039_DEF,1,7,18,1000,10,1
040_ABC,1,7,18,1000,10,1
041_ABC,1,7,18,1000,10,1
041_DEF,1,7,18,1000,10,1
042_ABC,1,7,18,1000,10,1
042_DE,1,7,18,1000,10,1
043_AB,1,7,18,1000,10,1
043_CD,1,7,18,1000,10,1
044_ABC,1,7,18,1000,10,1
044_DEF,1,7,18,1000,10,1
045_ABC,1,7,18,1000,10,1
045_DEF,1,7,18,1000,10,1
046_AB,1,7,18,1000,10,1
046_CD,1,7,18,1000,10,1
046_EF,1,7,18,1000,10,1
046_GH,1,7,18,1000,10,1
047_AB,1,7,18,1000,10,1
047_CD,1,7,18,1000,10,1
047_EF,1,7,18,1000,10,1
048_DEF,1,7,18,1000,10,1
048_G,1,7,18,1000,10,1
049_ABC,1,7,18,1000,10,1
049_GHK,1,7,18,1000,10,1
049_L,1,7,18,1000,10,1
051_ABC,1,7,18,1000,10,1
051_DEF,1,7,18,1000,10,1
052_ABC,1,7,18,1000,10,1
052_DEF,1,7,18,1000,10,1
053_ABC,1,7,18,1000,10,1
053_DEF,1,7,18,1000,10,1
054_GH,1,7,18,1000,10,1
054_KL,1,7,18,1000,10,1
058_DEF,1,7,18,1000,10,1
058_GH,1,7,18,1000,10,1
058_KL,1,7,18,1000,10,1
059_AB,1,7,18,1000,10,1
059_CD,1,7,18,1000,10,1
059_EF,1,7,18,1000,10,1
061_ABC,1,7,18,1000,10,1
061_DEF,1,7,18,1000,10,1
062_ABC,1,7,18,1000,10,1
063_ABC,1,7,18,1000,10,1
064_ABC,1,7,18,1000,10,1
064_DEF,1,7,18,1000,10,1
064_GHK,1,7,18,1000,10,1
064_LMN,1,7,18,1000,10,1
065_ABC,1,7,18,1000,10,1
065_DEF,1,7,18,1000,10,1
066_ABC,1,7,18,1000,10,1
066_DEF,1,7,18,1000,10,1
066_GH,1,7,18,1000,10,1
067_AB,1,7,18,1000,10,1
068_ABC,1,7,18,1000,10,1
068_DEF,1,7,18,1000,10,1
070_LMN,1,7,18,1000,10,1
071_FGH,1,7,18,1000,10,1
072_ABC,1,7,18,1000,10,1
073_ABC,1,7,18,1000,10,1
073_DEF,1,7,18,1000,10,1
074_ABC,1,7,18,1000,10,1
075_ABC,1,7,18,1000,10,1
075_DEF,1,7,18,1000,10,1
076_ABD,1,7,18,1000,10,1
076_EF,1,7,18,1000,10,1
077_ABC,1,7,18,1000,10,1
077_DEF,1,7,18,1000,10,1
077_GH,1,7,18,1000,10,1
077_KL,1,7,18,1000,10,1
078_AB,1,7,18,1000,10,1
078_CD,1,7,18,1000,10,1
079_DEF,1,7,18,1000,10,1
080_ABC,1,7,18,1000,10,1
081_ABC,1,7,18,1000,10,1
081_DEF,1,7,18,1000,10,1
082_ABC,1,7,18,1000,10,1
082_DEF,1,7,18,1000,10,1
083_ABC,1,7,18,1000,10,1
083_DEF,1,7,18,1000,10,1
084_ABC,1,7,18,1000,10,1
084_DEF,1,7,18,1000,10,1
085_AB,1,7,18,1000,10,1
086_AB,1,7,18,1000,10,1
086_CD,1,7,18,1000,10,1
086_EF,1,7,18,1000,10,1
087_DEF,1,7,18,1000,10,1
088_ABC,1,7,18,1000,10,1
088_DEF,1,7,18,1000,10,1
088_GH,1,7,18,1000,10,1
088_KL,1,7,18,1000,10,1
089_EF,1,7,18,1000,10,1
090_DEF,1,7,18,1000,10,1
090_GH,1,7,18,1000,10,1
091_AB,1,7,18,1000,10,1
091_DE,1,7,18,1000,10,1
092_ABC,1,7,18,1000,10,1
092_DEF,1,7,18,1000,10,1
093_AB,1,7,18,1000,10,1
094_ABC,1,7,18,1000,10,1
094_DEF,1,7,18,1000,10,1
096_ABC,1,7,18,1000,10,1
096_DEF,1,7,18,1000,10,1
097_ABC,1,7,18,1000,10,1
098_ABC,1,7,18,1000,10,1
098_LMN,1,7,18,1000,10,1
099_ABC,1,7,18,1000,10,1
099_DEF,1,7,18,1000,10,1
099_GHK,1,7,18,1000,10,1
100_DEF,1,7,18,1000,10,1
101_ABC,1,7,18,1000,10,1
101_DEF,1,7,18,1000,10,1
102_AB,1,7,18,1000,10,1
102_GH,1,7,18,1000,10,1
103_ABC,1,7,18,1000,10,1
103_DEF,1,7,18,1000,10,1
104_CD,1,7,18,1000,10,1
104_EF,1,7,18,1000,10,1
105_ABC,1,7,18,1000,10,1
106_DEF,1,7,18,1000,10,1
108_CD,1,7,18,1000,10,1
108_EF,1,7,18,1000,10,1
109_ABC,1,7,18,1000,10,1
110_ABC,1,7,18,1000,10,1
110_DEF,1,7,18,1000,10,1
111_AB,1,7,18,1000,10,1
111_CD,1,7,18,1000,10,1
111_EF,1,7,18,1000,10,1
112_ABC,1,7,18,1000,10,1
113_ABC,1,7,18,1000,10,1
114_AB,1,7,18,1000,10,1
114_EF,1,7,18,1000,10,1
115_ABC,1,7,18,1000,10,1
115_DEF,1,7,18,1000,10,1
118_ABC,1,7,18,1000,10,1
118_DEF,1,7,18,1000,10,1
119_GHK,1,7,18,1000,10,1
119_L,1,7,18,1000,10,1
120_ABC,1,7,18,1000,10,1
120_GH,1,7,18,1000,10,1
121_CD,1,7,18,1000,10,1
122_DEF,1,7,18,1000,10,1
123_CD,1,7,18,1000,10,1
124_EF,1,7,18,1000,10,1
125_ABC,1,7,18,1000,10,1
125_DEF,1,7,18,1000,10,1
126_AB,1,7,18,1000,10,1
127_ABC,1,7,18,1000,10,1
127_DEF,1,7,18,1000,10,1
128_DEF,1,7,18,1000,10,1
128_GH,1,7,18,1000,10,1
128_KL,1,7,18,1000,10,1
129_ABC,1,7,18,1000,10,1
129_DEF,1,7,18,1000,10,1
130_DEF,1,7,18,1000,10,1
131_AB,1,7,18,1000,10,1
131_CD,1,7,18,1000,10,1
131_EF,1,7,18,1000,10,1
132_DEF,1,7,18,1000,10,1
133_ABC,1,7,18,1000,10,1
133_GH,1,7,18,1000,10,1
134_ABC,1,7,18,1000,10,1
134_DE,1,7,18,1000,10,1
134_FGH,1,7,18,1000,10,1
135_ABC,1,7,18,1000,10,1
135_DEF,1,7,18,1000,10,1
136_FG,1,7,18,1000,10,1
138_CD,1,7,18,1000,10,1
140_ABC,1,7,18,1000,10,1
140_DEF,1,7,18,1000,10,1
140_GH,1,7,18,1000,10,1
140_KL,1,7,18,1000,10,1
141_AB,1,7,18,1000,10,1
141_CD,1,7,18,1000,10,1
141_EF,1,7,18,1000,10,1
142_ABC,1,7,18,1000,10,1
142_DEF,1,7,18,1000,10,1
143_AB,1,7,18,1000,10,1
143_DE,1,7,18,1000,10,1
144_AB,1,7,18,1000,10,1
144_CD,1,7,18,1000,10,1
144_EF,1,7,18,1000,10,1
145_ABC,1,7,18,1000,10,1
145_DEF,1,7,18,1000,10,1
145_GHK,1,7,18,1000,10,1
145_LMN,1,7,18,1000,10,1
146_ABC,1,7,18,1000,10,1
147_DEF,1,7,18,1000,10,1
148_ABC,1,7,18,1000,10,1
148_DEF,1,7,18,1000,10,1
149_DEF,1,7,18,1000,10,1
150_ABC,1,7,18,1000,10,1
150_DEF,1,7,18,1000,10,1
151_AB,1,7,18,1000,10,1
151_EF,1,7,18,1000,10,1
152_ABC,1,7,18,1000,10,1
152_DEF,1,7,18,1000,10,1
154_CD,1,7,18,1000,10,1
155_DEF,1,7,18,1000,10,1
156_DEF,1,7,18,1000,10,1
158_AB,1,7,18,1000,10,1
158_CD,1,7,18,1000,10,1
159_ABC,1,7,18,1000,10,1
159_DEF,1,7,18,1000,10,1
160_A,1,7,18,1000,10,1
160_B,1,7,18,1000,10,1
160_C,1,7,18,1000,10,1
160_F,1,7,18,1000,10,1
160_H,1,7,18,1000,10,1
160_K,1,7,18,1000,10,1
160_L,1,7,18,1000,10,1
160_M,1,7,18,1000,10,1
160_N,1,7,18,1000,10,1
160_R,1,7,18,1000,10,1
161_ABC,1,7,18,1000,10,1
163_DEF,1,7,18,1000,10,1
165_AB,1,7,18,1000,10,1
165_CDE,1,7,18,1000,10,1
167_CD,1,7,18,1000,10,1
167_EF,1,7,18,1000,10,1
169_ABC,1,7,18,1000,10,1
169_DEF,1,7,18,1000,10,1
170_ABC,1,7,18,1000,10,1
170_DEF,1,7,18,1000,10,1
170_GH,1,7,18,1000,10,1
171_A,1,7,18,1000,10,1
171_B,1,7,18,1000,10,1
171_C,1,7,18,1000,10,1
171_D,1,7,18,1000,10,1
171_E,1,7,18,1000,10,1
171_F,1,7,18,1000,10,1
171_G,1,7,18,1000,10,1
171_H,1,7,18,1000,10,1
171_K,1,7,18,1000,10,1
171_L,1,7,18,1000,10,1
171_N,1,7,18,1000,10,1
172_ABC,1,7,18,1000,10,1
172_KL,1,7,18,1000,10,1
173_ABC,1,7,18,1000,10,1
173_DE,1,7,18,1000,10,1
173_FGH,1,7,18,1000,10,1
173_KL,1,7,18,1000,10,1
174_ABC,1,7,18,1000,10,1
175_ABC,1,7,18,1000,10,1
175_DEF,1,7,18,1000,10,1
176_ABC,1,7,18,1000,10,1
176_GHK,1,7,18,1000,10,1
177_ABC,1,7,18,1000,10,1
177_DEF,1,7,18,1000,10,1
