rid,score,incl_of_fold0
dBd9Ft,-1.0,"['146_DEF', '163_ABC', '010_KL', '016_DEF', '118_DEF', '025_AB', '004_GHK', '155_DEF', '074_ABC', '172_ABC']"
zkqxzQ,-1.0,"['028_EF', '074_ABC', '080_ABC', '010_KL', '014_CD', '172_KL', '115_DEF', '189_EF', '012_AB']"
OTaZEd,-1.0,"['158_CD', '080_ABC', '197_ABC', '155_DEF', '107_L', '107_ABC', '102_AB', '172_KL']"
rVchyV,0.0,"['115_DEF', '019_ABC', '150_DEF', '038_DE', '004_GHK', '198_EF', '102_AB']"
TPTgqh,0.0,"['074_ABC', '066_GH', '163_ABC', '172_ABC', '124_AB', '164_DEF', '118_DEF']"
WPdCS8,0.0,"['074_DEF', '173_FGH', '066_GH', '132_DEF', '045_DEF', '141_EF', '205_DEF', '160_A']"
XZmtuS,-1.0,"['124_AB', '002_ABC', '163_ABC', '210_L', '160_C', '026_DEF', '031_ABC', '189_EF', '212_ABC', '062_ABC']"
An1QRT,0.0,"['109_ABC', '120_GH', '014_CD', '062_ABC', '189_EF', '155_DEF', '124_AB', '172_ABC', '080_ABC', '143_F', '151_CD']"
59uFYh,0.0,"['042_DE', '118_DEF', '152_DEF', '169_DEF', '183_DEF', '041_ABC', '025_AB']"
OhU11E,0.0,"['030_GH', '104_AB', '032_AB', '176_GHK', '017_DEF', '080_G', '117_KL', '189_EF']"
hfwIuB,0.0,"['164_DEF', '162_DEF', '172_ABC', '051_GH', '078_CD', '172_KL', '119_L', '014_CD', '108_CD']"
0ITWbW,-1.0,"['198_EF', '068_ABC', '213_LMN', '108_CD', '125_DEF', '074_DEF', '197_ABC', '016_DEF', '033_KL']"
3vcvYp,-1.0,"['205_DEF', '007_DEF', '031_ABC', '148_DEF', '120_GH', '026_DEF', '016_GH', '045_DEF']"
FDIEH6,-1.0,"['205_DEF', '078_CD', '068_ABC', '034_EF', '036_AB', '004_GHK', '160_A']"
tT5ESP,-1.0,"['197_ABC', '212_ABC', '117_KL', '181_G', '193_ABCD', '111_EF', '030_GH', '010_KL', '152_DEF', '031_ABC']"
rhg9AG,-1.0,"['030_GH', '080_ABC', '010_KL', '146_DEF', '097_ABC', '201_KL']"
L7Z9ib,-1.0,"['014_CD', '025_AB', '016_DEF', '054_GH', '144_EF', '177_DEF', '002_ABC', '119_L', '140_DEF', '169_DEF']"
tF28cT,0.0,"['062_ABC', '172_KL', '033_KL', '077_DEF', '041_ABC', '189_EF', '107_L', '125_DEF', '212_ABC', '030_GH']"
fjf3lI,-1.0,"['026_DEF', '036_AB', '183_DEF', '072_ABC', '155_DEF', '030_GH', '212_ABC', '017_DEF', '162_DEF', '148_DEF', '054_GH']"
1ReARt,-1.0,"['162_DEF', '208_ABC', '077_DEF', '129_DEF', '102_AB', '158_CD', '160_A']"
6qLJxt,0.0,"['032_EF', '102_AB', '012_AB', '038_DE', '034_EF', '041_ABC', '068_ABC', '148_ABC', '002_ABC']"
zg2aHw,0.0,"['212_ABC', '033_KL', '135_ABC', '160_C', '132_DEF', '108_CD', '208_ABC', '109_ABC']"
3ngIRW,0.0,"['054_GH', '083_DEF', '068_DEF', '107_L', '016_KL', '150_DEF', '111_EF', '108_CD']"
XQbUH6,-1.0,"['143_F', '031_ABC', '136_FG', '074_DEF', '019_ABC', '002_ABC', '108_CD', '028_EF']"
YzoKbu,-1.0,"['120_GH', '197_ABC', '031_ABC', '201_KL', '028_EF', '080_ABC', '132_DEF', '143_F', '136_FG', '102_AB', '016_KL']"
ttiE3Q,-1.0,"['135_ABC', '026_DEF', '183_DEF', '119_L', '181_AB', '068_DEF', '054_GH']"
8txDS0,0.0,"['033_KL', '181_G', '025_AB', '071_FGH', '111_EF', '010_KL', '028_EF']"
a6tfUy,-1.0,"['027_FG', '145_LMN', '169_DEF', '072_ABC', '200_AB', '177_DEF', '097_ABC']"
GpoxIL,0.0,"['123_EF', '200_AB', '208_DEF', '078_CD', '026_DEF', '109_ABC', '167_CD', '107_L']"
MGoVjC,0.0,"['026_DEF', '025_AB', '171_M', '007_DEF', '152_DEF', '173_FGH', '066_GH', '210_L', '039_DEF', '155_DEF']"
yK0k8Y,0.0,"['062_ABC', '150_DEF', '097_ABC', '082_ABC', '108_CD', '160_C', '205_DEF', '107_ABC']"
jE5Dby,-1.0,"['045_DEF', '162_DEF', '176_GHK', '201_KL', '002_DEF', '020_AB', '077_DEF']"
efGUoC,0.0,"['115_DEF', '158_CD', '049_DEF', '167_CD', '176_GHK', '200_AB', '140_DEF', '038_DE', '033_KL', '012_AB']"
qfx9gt,-1.0,"['097_ABC', '189_EF', '016_DEF', '152_DEF', '068_DEF', '198_EF', '109_ABC']"
GjzJLl,-1.0,"['160_A', '110_DEF', '212_ABC', '004_GHK', '213_LMN', '016_DEF', '183_DEF', '062_ABC']"
cM6t1V,0.0,"['062_ABC', '123_EF', '042_DE', '163_ABC', '183_DEF', '014_CD', '213_LMN', '129_DEF', '082_ABC']"
J62M9b,-1.0,"['020_AB', '132_DEF', '120_GH', '062_ABC', '033_KL', '173_FGH', '118_DEF', '045_DEF', '148_ABC', '026_DEF']"
Z0OagO,0.0,"['145_LMN', '030_GH', '107_ABC', '148_ABC', '027_FG', '102_AB', '033_KL', '017_DEF']"
3Uw8Zt,0.0,"['164_DEF', '203_ABC', '193_ABCD', '118_DEF', '026_DEF', '109_ABC', '173_FGH', '068_ABC', '200_AB', '205_DEF']"
1NomBg,-1.0,"['110_DEF', '002_DEF', '001_ABC', '181_AB', '115_DEF', '150_DEF', '104_AB', '051_GH', '118_DEF']"
n1zaGa,0.0,"['163_ABC', '107_ABC', '041_ABC', '034_EF', '146_DEF', '097_ABC', '030_GH']"
z9hgCE,-1.0,"['054_GH', '016_DEF', '028_EF', '012_AB', '144_CD', '160_A', '019_ABC', '201_KL', '124_AB', '110_DEF']"
ZNxwk8,-1.0,"['108_CD', '117_KL', '172_ABC', '171_M', '034_EF', '193_ABCD', '026_DEF', '129_DEF']"
bQxnEH,-1.0,"['185_ABC', '016_KL', '025_AB', '148_ABC', '010_KL', '135_ABC', '083_DEF', '164_DEF', '032_AB']"
Tslznl,-1.0,"['160_C', '074_ABC', '074_DEF', '210_L', '136_FG', '020_AB', '055_ABC', '117_KL']"
ACNN27,-1.0,"['115_DEF', '045_DEF', '097_ABC', '181_AB', '068_ABC', '177_DEF', '083_DEF', '193_ABCD']"
LRKLin,-1.0,"['031_ABC', '183_DEF', '205_DEF', '001_ABC', '062_ABC', '135_ABC', '141_EF', '148_DEF', '072_ABC', '054_GH']"
5ysOaI,-1.0,"['177_DEF', '032_AB', '181_G', '115_DEF', '176_GHK', '118_ABC', '007_DEF']"
dPWBWH,-1.0,"['077_DEF', '051_GH', '118_ABC', '173_FGH', '031_ABC', '171_M', '212_ABC', '107_L']"
mmihdt,0.0,"['205_DEF', '071_FGH', '104_AB', '102_AB', '041_ABC', '210_L', '200_AB', '045_DEF', '001_ABC']"
LTokLV,0.0,"['181_G', '091_AB', '132_DEF', '185_ABC', '019_ABC', '032_AB', '045_DEF', '123_EF', '212_ABC']"
mXVgtO,0.0,"['177_DEF', '108_CD', '107_ABC', '042_DE', '111_EF', '181_G', '016_DEF', '014_CD']"
JnX0xu,0.0,"['071_FGH', '145_LMN', '111_EF', '189_EF', '077_DEF', '072_ABC', '129_DEF', '205_DEF', '155_DEF', '203_ABC']"
FEpQ8X,0.0,"['033_KL', '125_DEF', '158_CD', '210_L', '200_AB', '208_ABC', '197_ABC', '143_F', '074_ABC']"
WjBq9p,0.0,"['055_ABC', '033_KL', '104_AB', '173_FGH', '152_DEF', '062_ABC', '185_ABC', '111_EF', '205_DEF', '109_ABC']"
T2Djkl,-1.0,"['016_KL', '120_GH', '030_GH', '055_ABC', '017_DEF', '074_ABC', '210_L', '119_L', '108_CD']"
CGQJ9n,0.0,"['171_M', '030_GH', '148_ABC', '213_LMN', '097_ABC', '104_AB', '124_AB', '118_ABC', '155_DEF', '181_AB', '200_AB']"
3HvvfG,0.0,"['129_DEF', '164_DEF', '115_DEF', '111_EF', '055_ABC', '038_DE', '167_CD', '152_DEF', '019_ABC']"
hdnC4T,-1.0,"['143_F', '062_ABC', '119_L', '077_DEF', '210_L', '152_DEF', '104_AB', '172_KL', '080_G', '163_ABC']"
iYYDdl,-1.0,"['172_KL', '115_DEF', '004_GHK', '014_CD', '104_AB', '140_DEF', '210_L', '002_ABC']"
tYHqrm,-1.0,"['012_AB', '124_AB', '111_EF', '032_AB', '145_LMN', '049_DEF', '141_EF', '144_EF']"
drPjm9,-1.0,"['171_M', '136_FG', '162_DEF', '055_ABC', '146_DEF', '172_ABC', '189_EF', '144_EF', '107_L']"
HyYvXa,0.0,"['027_FG', '123_EF', '172_KL', '183_DEF', '118_DEF', '025_AB']"
a9bV3s,0.0,"['109_ABC', '171_M', '077_DEF', '141_EF', '185_ABC', '004_GHK', '049_DEF', '205_DEF', '132_DEF', '054_GH']"
KVC2Rs,-1.0,"['080_G', '097_ABC', '016_DEF', '172_KL', '140_DEF', '164_DEF', '143_F', '066_GH', '102_AB']"
YnhBs9,0.0,"['132_DEF', '123_EF', '118_ABC', '007_DEF', '034_EF', '032_AB', '107_ABC', '189_EF']"
KFBQcl,-1.0,"['077_DEF', '002_ABC', '118_DEF', '210_L', '171_M', '172_ABC', '141_EF']"
iParIw,-1.0,"['062_ABC', '072_ABC', '158_CD', '068_DEF', '167_CD', '124_AB', '016_DEF', '074_DEF', '160_A']"
fSyPEU,0.0,"['104_AB', '164_DEF', '197_ABC', '160_A', '028_EF', '155_DEF', '123_EF', '016_KL']"
aGpM8p,-1.0,"['049_DEF', '083_DEF', '129_DEF', '002_ABC', '158_CD', '185_ABC']"
YZYRbr,0.0,"['181_G', '068_ABC', '181_AB', '118_DEF', '201_KL', '071_FGH', '014_CD', '200_AB', '049_DEF']"
eMhgEQ,0.0,"['200_AB', '042_DE', '016_DEF', '066_GH', '107_ABC', '132_DEF', '083_DEF', '193_ABCD', '177_DEF']"
viFv5A,-1.0,"['201_KL', '066_GH', '019_ABC', '151_CD', '010_KL', '016_KL', '119_L', '189_EF']"
LsV6MN,-1.0,"['097_ABC', '201_KL', '078_CD', '115_DEF', '030_GH', '171_M', '051_GH', '203_ABC']"
QpJymL,0.0,"['071_FGH', '123_EF', '002_DEF', '117_KL', '183_DEF', '001_ABC']"
MMOSa7,-1.0,"['038_DE', '172_KL', '104_AB', '155_DEF', '193_ABCD', '162_DEF', '016_DEF']"
PkVRtd,0.0,"['032_EF', '212_ABC', '167_CD', '091_AB', '077_DEF', '002_DEF', '002_ABC', '164_DEF', '148_ABC', '201_KL', '074_ABC']"
HRgUUD,0.0,"['158_CD', '212_ABC', '118_DEF', '185_ABC', '077_DEF', '111_EF']"
