rid,score,incl_of_fold0
BHRo9W,-1.0,"['117_KL', '172_ABC', '135_ABC', '104_AB', '045_DEF', '118_DEF', '141_EF']"
4q2I6U,0.0,"['172_KL', '055_ABC', '213_LMN', '143_F', '036_AB', '074_DEF']"
Xs0UP0,0.0,"['074_DEF', '074_ABC', '038_DE', '160_A', '016_GH', '004_GHK', '181_G']"
bw4xLu,-1.0,"['136_FG', '080_G', '151_CD', '155_DEF', '183_DEF', '143_F', '017_DEF', '118_DEF', '150_DEF']"
qaUrik,-1.0,"['072_ABC', '117_KL', '141_EF', '160_A', '080_ABC', '074_ABC', '068_ABC', '107_ABC', '176_GHK']"
YCe0ae,0.0,"['181_G', '016_GH', '055_ABC', '163_ABC', '171_M']"
V5prGO,-1.0,"['077_DEF', '080_G', '016_GH', '068_DEF', '136_FG', '034_EF', '160_A', '120_GH', '172_KL']"
Rvscdl,0.0,"['016_GH', '107_ABC', '019_ABC', '213_LMN', '123_EF', '117_KL', '068_DEF']"
0GSnju,0.0,"['111_EF', '189_EF', '198_EF', '038_DE', '169_DEF', '183_DEF', '212_ABC']"
XaDgOk,0.0,"['068_ABC', '141_EF', '132_DEF', '185_ABC', '045_DEF', '002_ABC', '172_ABC']"
KWzLWF,-1.0,"['026_DEF', '124_AB', '027_FG', '185_ABC', '120_GH', '208_ABC', '080_ABC', '080_G']"
4VQY3u,-1.0,"['068_ABC', '002_ABC', '080_G', '152_DEF', '111_EF', '145_LMN', '055_ABC', '185_ABC']"
8UuGP5,0.0,"['074_DEF', '172_KL', '119_L', '173_FGH', '030_GH', '176_GHK', '203_ABC', '109_ABC', '102_AB']"
