rid,score
MDS3lN,-1.0
MDS3lN,-1.0
MDS3lN,-1.0
MDS3lN,-1.0
MDS3lN,-1.0
MDS3lN,0.0
MDS3lN,-1.0
MDS3lN,-1.0
MDS3lN,-1.0
MDS3lN,-1.0
MDS3lN,-1.0
MDS3lN,-1.0
MDS3lN,-1.0
MDS3lN,0.0
MDS3lN,-1.0
MDS3lN,-1.0
MDS3lN,-1.0
MDS3lN,-1.0
MDS3lN,-1.0
MDS3lN,0.0
MDS3lN,-1.0
MDS3lN,-1.0
MDS3lN,-1.0
MDS3lN,-1.0
MDS3lN,0.0
MDS3lN,-1.0
MDS3lN,-1.0
MDS3lN,-1.0
MDS3lN,-1.0
MDS3lN,0.0
MDS3lN,-1.0
MDS3lN,-1.0
MDS3lN,-1.0
MDS3lN,-1.0
MDS3lN,-1.0
MDS3lN,-1.0
MDS3lN,-1.0
MDS3lN,-1.0
MDS3lN,-1.0
MDS3lN,-1.0
MDS3lN,-1.0
MDS3lN,-1.0
MDS3lN,0.0
MDS3lN,-1.0
MDS3lN,-1.0
MDS3lN,-1.0
MDS3lN,-1.0
MDS3lN,-1.0
MDS3lN,-1.0
MDS3lN,-1.0
MDS3lN,-1.0
MDS3lN,-1.0
MDS3lN,-1.0
MDS3lN,0.0
MDS3lN,-1.0
MDS3lN,-1.0
MDS3lN,-1.0
MDS3lN,-1.0
MDS3lN,-1.0
MDS3lN,-1.0
MDS3lN,-1.0
MDS3lN,-1.0
MDS3lN,-1.0
MDS3lN,-1.0
MDS3lN,-1.0
MDS3lN,-1.0
MDS3lN,0.0
MDS3lN,-1.0
MDS3lN,-1.0
MDS3lN,-1.0
MDS3lN,-1.0
MDS3lN,-1.0
MDS3lN,-1.0
MDS3lN,-1.0
MDS3lN,-1.0
MDS3lN,0.0
MDS3lN,0.0
MDS3lN,-1.0
MDS3lN,-1.0
MDS3lN,-1.0
MDS3lN,0.0
MDS3lN,-1.0
MDS3lN,-1.0
MDS3lN,-1.0
MDS3lN,-1.0
MDS3lN,-1.0
MDS3lN,-1.0
MDS3lN,-1.0
MDS3lN,-1.0
MDS3lN,-1.0
MDS3lN,-1.0
MDS3lN,-1.0
MDS3lN,-1.0
MDS3lN,0.0
MDS3lN,-1.0
MDS3lN,-1.0
MDS3lN,-1.0
MDS3lN,-1.0
MDS3lN,-1.0
MDS3lN,-1.0
fQ0gDx,0.0
fQ0gDx,0.0
fQ0gDx,0.0
fQ0gDx,0.0
fQ0gDx,0.0
