mu_g,mu_r,mu_b,sd_g,sd_r,sd_b
0.870813,0.74032885,0.8252014,0.1160233,0.13472492,0.081654176
0.9533576,0.89225686,0.902173,0.053334113,0.07660399,0.05254594
0.92467237,0.8397306,0.88075864,0.10062229,0.14410171,0.09101712
0.91844916,0.8764585,0.89260113,0.08313908,0.081689306,0.056402847
0.9501463,0.89867014,0.8899733,0.069241054,0.09574939,0.08190576
0.9335963,0.8498916,0.8842204,0.08170153,0.10456377,0.067591526
0.8868375,0.80978745,0.84934175,0.12955153,0.14053959,0.089253336
0.8354487,0.71739155,0.8424544,0.16918741,0.17412293,0.09056572
0.83522826,0.60485154,0.7505086,0.16450681,0.24523391,0.15867533
0.93828404,0.68369234,0.78096473,0.10328802,0.20264617,0.13295561
0.7030701,0.5202817,0.66864055,0.22034705,0.31133693,0.21074916
0.87076664,0.6665979,0.81411064,0.15410255,0.18948305,0.09989374
0.9091343,0.8353744,0.86752117,0.10192855,0.12174851,0.0841909
0.9324534,0.8613858,0.8813428,0.081407666,0.107343465,0.074599825
0.92813164,0.82948333,0.87063724,0.08138652,0.11389878,0.07611374
0.9068085,0.7126138,0.8317159,0.10888318,0.19265863,0.108007096
0.9057786,0.805688,0.8520859,0.10874907,0.13055618,0.08362957
0.8090788,0.5173198,0.7066026,0.15853953,0.28701085,0.17507976
0.9324688,0.8462266,0.8654742,0.0785752,0.11531898,0.08441884
0.8067234,0.5560779,0.7164218,0.16343635,0.2636998,0.1666334
0.88804144,0.6297389,0.76162815,0.13957399,0.26138902,0.15913957
0.7200674,0.4668325,0.61807895,0.21134555,0.3171956,0.22678244
0.8070795,0.491641,0.6575761,0.17614675,0.30341548,0.2025539
0.87214977,0.5280615,0.6857884,0.17914495,0.29444793,0.19218847
0.89860755,0.5497417,0.71318895,0.15703371,0.27127606,0.17062081
0.84197646,0.49316913,0.6691554,0.1520566,0.29201555,0.19245118
0.89260864,0.49259654,0.6498544,0.11520769,0.3009865,0.2077208
0.933304,0.8810397,0.884188,0.06787503,0.086191766,0.06464949
0.8252255,0.54986525,0.7044884,0.1498072,0.2728177,0.173593
0.7268186,0.4555713,0.6128257,0.21181767,0.31305423,0.22630626
0.9404249,0.52774477,0.71798795,0.10106658,0.24226618,0.1432483
0.926352,0.85982776,0.89028406,0.0833819,0.10419318,0.072741106
0.94313055,0.86429244,0.8911567,0.06782939,0.09823611,0.066643156
0.9352975,0.8680713,0.8939946,0.082402825,0.10487613,0.06455521
0.8866919,0.59094965,0.73540473,0.12858748,0.30205372,0.2010018
0.76265115,0.553439,0.7234368,0.20039293,0.27685273,0.17088996
0.9451351,0.86571103,0.8877862,0.06741364,0.09367331,0.06483823
0.9459515,0.8654023,0.8846788,0.07510899,0.10917972,0.075965054
0.8435356,0.6513344,0.7874333,0.16357099,0.22403848,0.13694377
0.88503146,0.51457083,0.6763228,0.12229654,0.29218784,0.19850214
0.8859583,0.67579055,0.7775111,0.123845086,0.20704338,0.13572575
0.8929806,0.785641,0.84795517,0.1108241,0.14056857,0.08713859
0.82250994,0.5549385,0.70935565,0.16330123,0.28926256,0.1861384
0.9525657,0.8144887,0.8692753,0.080784895,0.1464157,0.09388883
0.8747283,0.7402262,0.8029038,0.13157316,0.16786149,0.11157853
0.8775941,0.80326694,0.8809195,0.1237052,0.13243575,0.07202307
0.9288606,0.8122077,0.84475124,0.08965065,0.13498968,0.09423595
0.92743915,0.7553088,0.82396996,0.09045567,0.18217497,0.12174301
0.9415684,0.8496599,0.8744877,0.06860024,0.10787232,0.072613545
0.8610867,0.64970577,0.7886847,0.1863975,0.26055837,0.16958663
0.8231602,0.6308667,0.7361221,0.17232214,0.28640702,0.20153598
0.9219994,0.84385747,0.87882394,0.11681765,0.13944265,0.08782998
0.91008186,0.77495843,0.8237411,0.10593025,0.15318346,0.10404003
0.919022,0.84738046,0.86163545,0.07894221,0.105344675,0.0766879
0.86000866,0.4784491,0.63576555,0.13868138,0.31267294,0.22101149
0.813011,0.5867985,0.6776547,0.16762364,0.26432863,0.19868512
0.38636288,0.31345344,0.3817376,0.19868904,0.23689334,0.19779706
0.8837365,0.58116263,0.7283057,0.13381207,0.27649695,0.17921412
0.82050467,0.49720892,0.67504287,0.159461,0.28604865,0.18613696
0.8660578,0.68841076,0.7882645,0.14890133,0.19239773,0.11817273
0.55484056,0.40861604,0.51042336,0.18549217,0.2653298,0.2017608
0.8305404,0.6003478,0.7141751,0.16581538,0.29532295,0.22482991
0.8911048,0.67365205,0.7979755,0.16779387,0.23340724,0.13833332
0.9416445,0.8802541,0.88733906,0.06769165,0.09598402,0.06947918
0.88538843,0.6470384,0.77034694,0.13443677,0.2515863,0.16856657
0.9306884,0.63518304,0.7600444,0.11197274,0.23904727,0.15124528
0.76839954,0.5616576,0.70505714,0.19212456,0.26626608,0.1735277
0.84844065,0.5016156,0.663366,0.1526777,0.32167414,0.21559921
0.89347327,0.605305,0.7411074,0.11040897,0.22497113,0.14814559
0.8659039,0.65898424,0.7705989,0.15036398,0.24232133,0.1575849
0.8342017,0.65497136,0.80889046,0.14504755,0.21076928,0.11683679
0.92089,0.8176627,0.8780733,0.09096193,0.122772016,0.07396225
0.8860897,0.8355329,0.85172427,0.12071203,0.1247793,0.085904635
0.9027192,0.7813753,0.84251684,0.10922727,0.14029774,0.098111615
0.9171348,0.84186333,0.86233014,0.09116408,0.11911309,0.08875361
0.90185994,0.6416273,0.7690822,0.10718066,0.21785766,0.13708773
0.66929954,0.47321013,0.6229725,0.23495622,0.29570308,0.2175489
0.94425124,0.7660308,0.8336643,0.07568454,0.14975017,0.09475987
0.8413924,0.7133968,0.79640937,0.16802868,0.2451164,0.15440196
0.7370026,0.513005,0.70181644,0.20643325,0.29280323,0.18507212
0.7665088,0.5190396,0.7046004,0.17596574,0.27388185,0.1675591
0.81860036,0.6352798,0.75157225,0.15866314,0.2686822,0.17763072
0.756592,0.563237,0.71597975,0.19980565,0.2679838,0.17020656
0.9369128,0.7193986,0.79535145,0.09194593,0.19707611,0.13283038
0.7987251,0.43459138,0.60813713,0.1800165,0.34051207,0.23248419
0.9536044,0.8925855,0.90225667,0.048785802,0.07651237,0.055276077
0.7309103,0.5198365,0.63272125,0.23186632,0.3524906,0.26356623
0.8527531,0.7924439,0.8826679,0.14025712,0.13470767,0.067857064
0.8401148,0.590259,0.74152213,0.15611587,0.23102707,0.14186172
0.9566422,0.9170529,0.91543204,0.047790643,0.06812437,0.053865716
0.9546343,0.8888866,0.8932438,0.05547954,0.083576754,0.062419504
0.8074899,0.42918557,0.56710196,0.19489521,0.35774118,0.26987243
0.9691566,0.8249924,0.866038,0.043320414,0.16789562,0.116935454
0.94423103,0.6189139,0.744385,0.09439955,0.2301509,0.15524481
0.8524746,0.55805826,0.7161754,0.15023859,0.26847622,0.17328395
0.8549827,0.48524094,0.6521768,0.14705968,0.30581707,0.21050596
0.8490495,0.52690625,0.7006332,0.14928877,0.27648532,0.17761989
0.8389671,0.5230856,0.68318456,0.15412164,0.29477262,0.19479918
0.93274844,0.7947834,0.84192514,0.07722467,0.14043644,0.09181768
0.90540624,0.64685166,0.77928686,0.13948043,0.24269848,0.16566473
0.9076555,0.7899602,0.8313951,0.0858136,0.13510469,0.08948038
0.9085922,0.686981,0.8089887,0.13756591,0.22400406,0.14652689
0.9088162,0.76134753,0.8184533,0.12661672,0.21497539,0.15442136
0.87187326,0.5686999,0.7196821,0.17962515,0.30066037,0.19321571
